"Is learning concept 1 a prerequisite of learning concept 2? (i.e. In order to understand the learning concept 2, is it required to know learning concept 1 in advanced). Yes =  1, No = 0",,,,,,,
Learning concept 1,Learning concept 2,N,J,Annotator 3,Annotator 4,Annotator 5,..
flux integral,vector,0,0,,,,
skew lines,gravitational force,0,0,,,,
electrostatic fields,skew lines,0,0,,,,
harmonic function,electrostatic fields,0,0,,,,
osculating circle,harmonic function,0,0,,,,
parameter space,flux integral,1,1,,,,
Green’s theorem,chambered nautilus,,0,,,,
saddle point,resonance,0,0,,,,
mass flux,coordinate planes,0,0,,,,
vector projection,magnitude,0,0,,,,
cylinder,graph of a function of two variables,0,0,,,,
normal plane,chain rule,0,0,,,,
binormal vector,vector,0,0,,,,
cylinder,Gauss’ law,0,1,,,,
normal plane,direction cosines,1,1,,,,
osculating circle,simple harmonic motion,0,0,,,,
RLC series circuit,vector-valued functions,0,0,,,,
saddle point,Bessel functions,0,0,,,,
chain rule,cylinder,0,0,,,,
spring-mass system,projectile motion,0,0,,,,
vector-valued functions,vector projection,0,0,,,,
skew lines,electrostatic fields,0,1,,,,
resonance,topographical map,0,0,,,,
Green’s theorem,vector,0,0,,,,
linearly independent,force,0,0,,,,
skew lines,harmonic function,0,0,,,,
Green’s theorem,parallelepiped,0,0,,,,
vector product,vector-valued functions,1,1,,,,
Bessel functions,graph of a function of two variables,0,0,,,,
contour map,coordinate planes,0,0,,,,
vector projection,chambered nautilus,,0,,,,
force,cylinder,0,0,,,,
parametric surface,cylinder,0,0,,,,
contour map,projectile motion,0,0,,,,
method of variation of parameters,Gauss’ law,0,0,,,,
spring-mass system,constant multiple rule,0,0,,,,
chambered nautilus,magnitude,,0,,,,
right-hand rule,product rule,0,0,,,,
chambered nautilus,circulation,,,,,,
superposition principle,parameter space,0,0,,,,
vector,method of variation of parameters,0,1,,,,
binormal vector,gravitational force,0,0,,,,
sphere,chambered nautilus,1,1,,,,
binormal vector,coordinate planes,0,0,,,,
scalar,superposition principle,0,0,,,,
coordinate planes,circulation,0,1,,,,
method of variation of parameters,spring-mass system,0,0,,,,
magnitude,electrostatic fields,0,1,,,,
derivative,scalar,0,0,,,,
scalar,chambered nautilus,,1,,,,
method of Lagrange multipliers,saddle point,1,,,,,
graph of a function of two variables,Gauss’ law,0,0,,,,
determinant,constraints,0,0,,,,
transformation,simple harmonic motion,1,0,,,,
parametric surface,saddle point,1,1,,,,
parameter space,constraints,0,0,,,,
coordinate planes,saddle point,1,1,,,,
product rule,mass flux,0,1,,,,
vector,linearly independent,1,1,,,,
vector product,gravitational force,1,1,,,,
skew lines,direction cosines,1,1,,,,
binormal vector,constraints,0,0,,,,
parallelepiped,Bessel functions,0,0,,,,
flux integral,direction cosines,0,,,,,
parameter space,method of variation of parameters,1,1,,,,
linearly independent,partial differential equation,0,,,,,
RLC series circuit,Tacoma Narrows Bridge,0,0,,,,
projectile motion,osculating circle,0,0,,,,
skew lines,vector projection,0,0,,,,
resonance,vector-valued functions,0,0,,,,
right-hand rule,RLC series circuit,0,0,,,,
resonance,harmonic function,1,1,,,,
mass flux,vector,0,0,,,,
parallelepiped,harmonic function,0,0,,,,
parametric surface,contour map,1,1,,,,
direction cosines,method of variation of parameters,0,,,,,
flux integral,vector projection,0,0,,,,
conservative field,harmonic function,0,0,,,,
magnitude,circulation,0,0,,,,
parallelepiped,resonance,0,0,,,,
simple harmonic motion,constant multiple rule,0,0,,,,
vector projection,partial differential equation,0,0,,,,
force,conservative field,1,1,,,,
gravitational force,normal plane,0,0,,,,
mass flux,binormal vector,0,,,,,
sphere,parameter space,0,0,,,,
direction vector,normal plane,1,0,,,,
vector projection,force,1,1,,,,
harmonic function,vector product,0,0,,,,
resonance,constant multiple rule,0,,,,,
normal plane,scalar,1,0,,,,
vector product,parameter space,1,1,,,,
Gauss’ law,contour map,0,0,,,,
method of Lagrange multipliers,right-hand rule,0,,,,,
constant multiple rule,magnitude,0,0,,,,
conservative field,product rule,0,0,,,,
circulation,constraints,0,0,,,,
method of variation of parameters,coordinate planes,0,0,,,,
flux integral,chain rule,0,0,,,,
transformation,right-hand rule,0,0,,,,